,0,1,2,3
2736,2020.05.20.,베이비타임즈,"김형동 당선인, ""농식품 판매활성화 지원 확대하겠다""","  김형동 제21대 국회의원(미래통합당, 안동・예천) 당선인의 지역경제 활성화를 위한 정책행보가 이어지고... 명인안동소주(대표 박찬관)에서 안동시·예천군의 농업 6차산업 인증사업자 20개 업체대표들을 만나..."
2737,2020.05.20.,디트뉴스24,"맥키스컴퍼니, 태안군사랑장학회에 장학금 기탁","맥키스컴퍼니는 협약에 따라 태안지역 일반음식점에서 판매된 '이제우린' 소주 한 병당 5원을 적립한 2019년 적립금(581만 4900원)을 군에 기탁했다. 조웅래 회장은 ""서민들의 희노애락을 함께해 온 '이제우린'으로 태안..."
2738,2020.05.20.,여성신문,치킨값보다 낮은 가격이면 소주·맥주 배달 전면 허용…'이제까지 불법이었어...,"또한 소주와 맥주병 라벨에 적힌 가정용, 대형 매장용 식의 표기가 가정용으로 통합된다. 기획재정부와... 소비자는 지역 유명 양조장의 수제맥주를 해당 지역에 가지 않고 배달이나 다른 업체서 만든 것으로 마실 수 있다...."
2739,2020.05.20.,신동아언론사 선정,"전현직 경제학회장 6人 “미국發 복합위기에 줄도산, 외자유출에 재정위기 우...",“‘소주성’ 추진 미뤄야” ●김경수 성균관대 명예교수 “美 높은 실업률 재정위기 전이 우려”... 저소득층이 사는 지역에 교육·교통 인프라를 구축하면 부의 불평등 해소에도 도움이 될 것으로 보인다”고...
2740,2020.05.20.,조선비즈,"[강세 토픽] 음식료 - 주류 테마, 보해양조 +5.46%, 하이트진로 +3.53%","'클라우드' 맥주 제조.무학(033920)+2.66%'좋은데이' 소주 제조사로 업계 3위 (경남지역, 부산 주력).국순당(043650)+1.28%전통주 제조사로 '백세주', '대박막걸리', '아이싱' 등 생산. 국내 막걸리 시장점유율 2위. 국내 최대의..."
2741,2020.05.20.,SBS Biz언론사 선정,"감사원, ‘엉터리 공시가격’ 지적…더 낸 세금 돌려주나","부동산 가격에 결정적인 영향을 미치는 요소 - '용도지역'을 누락한 채 행정구역 등만 고려해 주택 공시가격을... 기획재정부와 국세청이 개선안을 발표하면서 음식을 온라인으로 배달시킬 때, 소주·맥주 등 술값이..."
2742,2020.05.19.,동양일보,향토기업 (주)맥키스컴퍼니 청양군에 장학금 전달,"맥키스컴퍼니와 청양사랑인재육성장학회는 지난해 오는 2028년까지 10년 동안 청양지역 일반음식점에서 판매되는 '이제우린' 소주 판매량에 따른 적립금을 매년 기탁하기로 약속했다. 조웅래 회장은 ""지난해..."
2743,2020.05.19.,연합뉴스,[연합뉴스 이 시각 헤드라인] - 20:00,"산간지역 곳곳에 때아닌 눈이 내렸다. 19일 오후 들어 설악산 고지대 기온이 영하로 떨어지면서... 소주와 맥주는 가정용과 마트용 구분이 사라지고, 가정용으로 통일된다. 기획재정부와 국세청은 19일 이런..."
2744,2020.05.19.,충청투데이,"맥키스 컴퍼니, 청양군에 장학금 430만4700원 기탁","맥키스컴퍼니와 청양사랑인재육성장학회는 지난해 오는 2028년까지 10년 동안 청양지역 일반음식점에서 판매되는 '이제우린' 소주 판매량에 따른 적립금을 매년 기탁하기로 약속했다.조웅래 회장은 ""지난해 장학회와..."
2745,2020.05.19.,충청투데이,"맥키스 컴퍼니, 태안군에 장학금 581만4900원 기탁",이번에 기탁된 장학금은 지난해 태안군사랑장학회와 ㈜맥키스 컴퍼니(회장 조웅래)가 맺은 '인재육성 장학기금 조성 업무협약'에 따른 것으로 지난해 태안지역 일반음식점에서 판매된 '이제우린' 소주 한 병당 5원을...
2746,2020.05.19.,서울신문언론사 선정,대형공장서 만든 ‘수제 캔맥주’ 맛 본다,지역의 유명 양조장의 수제맥주를 해당 지역을 방문하지 않고도 마실 수 있다. 또 알코올 도수 변경과 같은... 소비자들이 소주와 맥주를 구입할 때 병 겉면에 부착하는 가정용·대형 매장용 라벨도 2002년 이후 18년 만에...
2747,2020.05.19.,전남일보,"이름없는 역사의 주역, 당사자가 바라보는 5·18","시체 옆에서 소주를 먹었고 또 누군가 가져다줘서 안주 삼아 배를 먹었다. 밥은 입에 댈 수가 없었다.... 염씨는 ""5·18에 대한 시각차가 발생하는 것은 정치인들이 지역감정에 5·18을 악용하기 때문""이라고 말했다. ""5·18에..."
2748,2020.05.19.,업다운뉴스,재난지원금 돌자 훈풍 부는 유통업계...'이왕이면 좋은 걸로',"전 국민에게 재정적 도움을 주고, 소비를 촉진해 지역경제를 활성화하기 위해 정부가 긴급재난지원금을... 세븐일레븐은 소주·막걸리, 맥주가 4.1~8.3%로 소폭 증가한 반면, 와인과 양주의 매출은 각각 17.2%, 12.8%씩..."
2749,2020.05.19.,동양일보,"(주)맥키스 컴퍼니, 태안군사랑장학회에 장학금 581만원 기탁",장인철 기자］조웅래(오른쪽) ㈜맥키스 컴퍼니 회장이 가세로 태안군수에게 장학금 581만4900원을 전달했다. 장학금은 태안지역 일반음식점에서 2019년 판매된 '이제우린' 소주 한 병당 5원을 적립한 금액이다. 태안
2750,2020.05.19.,한스경제,"“가전이랑 고기산다”… 편의점, 코로나 지원금 풀리자 쇼핑 ‘핫플’ 등극","지역에 상관없이 코로나 지원금 사용이 가장 활발하게 이루어지는 곳은 편의점이다. GS와 CU를 비롯한 국내... 해당 기간 맥주는 8.3%, 소주ㆍ막걸리는 4.1% 늘었지만 이들보다 고가인 와인과 양주는 각각 17.2%, 12.8..."
2751,2020.05.19.,충청뉴스,"향토기업 (주)맥키스컴퍼니, 청양군에 장학금 전달","맥키스컴퍼니와 청양사랑인재육성장학회는 지난해 오는 2028년까지 10년 동안 청양지역 일반음식점에서 판매되는 '이제우린' 소주 판매량에 따른 적립금을 매년 기탁하기로 약속했다. 조웅래 회장은 ""지난해 장학회와..."
2752,2020.05.19.,충청일보,"(주)맥키스 컴퍼니, 태안군에 장학금 581만원 기탁","㈜맥키스 컴퍼니는 협약에 따라 지난해 태안지역 일반음식점에서 판매된 '이제우린' 소주 한 병당 5원을 적립해 이날 기탁했다. 조 회장은 ""서민들의 희노애락을 함께해 온 '이제우린'으로 태안 지역 학생들에게 보탬이 될..."
2753,2020.05.19.,대전일보,"(주)맥키스 컴퍼니, 태안군사랑장학회에 장학금 581만 원 기탁","이번에 기탁한 장학금은 지난해 태안군사랑장학회와 ㈜맥키스 컴퍼니가 맺은 '인재육성 장학기금 조성 업무협약'에 따른 것으로, ㈜맥키스 컴퍼니는 협약에 따라 태안지역 일반음식점에서 판매된 '이제우린' 소주 한..."
2754,2020.05.19.,대전일보,향토기업 (주)맥키스컴퍼니 청양군에 장학금 전달,"맥키스컴퍼니와 청양사랑인재육성장학회는 지난해 오는 2028년까지 10년 동안 청양지역 일반음식점에서 판매되는 '이제우린' 소주 판매량에 따른 적립금을 매년 기탁하기로 약속했다. 조웅래 회장은 ""지난해 장학회와..."
2755,2020.05.19.,금강일보,"㈜맥키스컴퍼니, 청양군에 장학금 전달","맥키스컴퍼니와 청양사랑인재육성장학회는 지난해 오는 2028년까지 10년 동안 청양지역 일반음식점에서 판매되는 '이제우린' 소주 판매량에 따른 적립금을 매년 기탁하기로 약속했다. 조웅래 회장은 ""지난해 장학회와..."
2756,2020.05.19.,금강일보,"맥키스컴퍼니, 태안군에 장학금 581만 원 기탁","조웅래 회장은 ""서민들의 희노애락을 함께해 온 '이제우린' 소주로 지역 학생들에게 보탬이 될 수 있어 기쁘게 생각한다""며 ""앞으로도 지역사회와 상생ㆍ발전할 수 있도록 꾸준히 노력하겠다""고 말했다. 가세로 군수는..."
2757,2020.05.19.,월간조선,‘한국판 뉴딜정책’ 속에 숨은 정치적 속내 | “뉴딜은 경제적 면에서 비틀거...,"루스벨트의 ‘소주성’ 미국의 역사가인 케네스 데이비스는 “뉴딜정책은 1776년(독립혁명)과 1860년... 이에 대해 공화당・민주당 같은 기성(旣成)정당이 지역주의로 맞서면서 산업화된 동북부 지역은 공화당이, 농업을..."
2758,2020.05.19.,일간NTN,[데스크 칼럼] 지역상품권으로 재난지원금 쓰는 게 가장 값진 '기부',"식당주인의 미뤄둔 펌 비용으로, 미용실 주인의 부러진 안경 바꿀 돈으로, 움츠린 심신을 달랠 삼겹살 안주에 소주 한잔 할 돈으로 쓰여 돌고 돌도록 하는 데 한 푼 낭비가 없도록 해야 한다. 내 지역 소상공인이..."
2759,2020.05.19.,불교공뉴스,향토기업 (주)맥키스컴퍼니 청양군에 장학금 전달,"맥키스컴퍼니와 청양사랑인재육성장학회는 지난해 오는 2028년까지 10년 동안 청양지역 일반음식점에서 판매되는 '이제우린' 소주 판매량에 따른 적립금을 매년 기탁하기로 약속했다. 조웅래 회장은 ""지난해 장학회와..."
