,0,1,2,3
908,2020.11.20.,한국경제,"'어깨춤' 규현, 이진호X딘딘에 ""왜왔어 또""... 투닥케미X업그레이드 풍류",세 사람은 전통주의 맛과 멋이라는 특별한 풍류를 체험할 계획이다. 10년의 경험을 자랑하는 외국인 전통주 소믈리에와 함께하는 쌀 향 가득한 풍류가 예고됐다. 이어 채널 십오야 유튜브 채널에서 공개되는 풀버전에서는...
909,2020.11.20.,데일리안,"[TV 엿보기] ‘어깨춤’ 규현 친구 이진호, ‘또’ 등장…이번에도 ‘빅웃음’...",세 사람은 전통주의 맛과 멋이라는 특별한 풍류를 체험할 계획이다. 10년의 경험을 자랑하는 외국인 전통주 소믈리에와 함께하는 쌀 향 가득한 풍류가 예고되며 기대를 모은다. 이어 채널 십오야 유튜브 채널에서 공개되는...
910,2020.11.20.,한국일보,"'어깨춤' 규현, 딘딘X이진호에 ""왜 왔어"" 반전 리액션…찐친 모먼트",세 사람은 전통주의 맛과 멋이라는 특별한 풍류를 체험할 계획이다. 10년의 경험을 자랑하는 외국인 전통주 소믈리에와 함께하는 쌀 향 가득한 풍류가 예고됐다. 이어 채널 십오야 유튜브 채널에서 공개되는 풀버전에서는...
911,2020.11.20.,데일리시큐,"영덕주조, 영덕대게 명소와 연동해 전통주 즐길 수 있는 체험 상품 선봬","경북 영덕군의 전통주 제조업체이자 사회적 기업으로 선정된 영덕주조는 지난 16일, 영덕대게 명소와 연동하여 다양한 전통주를 맛 보고 만들 수 있는 전통주 체험 상품을 선보인다고 20일 밝혔다. 이번에 출시한..."
912,2020.11.20.,엑스포츠뉴스,"딘딘X이진호, 규현과 新 풍류 즐긴다 ""이 프로그램 너무 좋다"" (어깨춤)",세 사람은 전통주의 맛과 멋이라는 특별한 풍류를 체험할 계획이다. 10년의 경험을 자랑하는 외국인 전통주 소믈리에와 함께하는 쌀 향 가득한 풍류가 예고되며 기대를 모은다. 이어 채널 십오야 유튜브 채널에서...
913,2020.11.20.,전북도민일보,전북트래블마트 참가자 순창 명소 방문,행사에서 홍보부스를 마련해 행사에 참석한 여행사 관계자에게 순창의 관광지를 소개했다. 또 농가 홍보부스를 마련해 순창 지란지교 임숙주 대표가 전통주를 빚는 모습을 직접 연출해 방문객의 이목을 끌었다. 순창=
914,2020.11.20.,스포츠조선,'언제까지 어깨춤을 추게 할거야' 딘딘X이진호 출격…규현과 찐친 케미,세 사람은 전통주의 맛과 멋이라는 특별한 풍류를 체험할 계획이다. 10년의 경험을 자랑하는 외국인 전통주 소믈리에와 함께하는 쌀 향 가득한 풍류가 예고되며 기대를 모은다. 이어 채널 십오야 유튜브 채널에서...
915,2020.11.20.,마이데일리,"'어깨춤' 딘딘X이진호, 등장…""규현과 업그레이드 풍류 즐긴다"" [오늘밤TV]",세 사람은 전통주의 맛과 멋이라는 특별한 풍류를 체험할 계획이다. 10년의 경험을 자랑하는 외국인 전통주 소믈리에와 함께하는 쌀 향 가득한 풍류가 예고되며 기대를 모은다. 이어 '채널 십오야' 유튜브 채널에서...
916,2020.11.20.,OSEN,"'언제까지어깨춤' 규현, 딘딘·이진호 방문..규현과 함께 풍류 즐긴다",세 사람은 전통주의 맛과 멋이라는 특별한 풍류를 체험할 계획이다. 10년의 경험을 자랑하는 외국인 전통주 소믈리에와 함께하는 쌀 향 가득한 풍류가 예고되며 기대를 모은다. 이어 채널 십오야 유튜브 채널에서...
917,2020.11.20.,싱글리스트,"'어깨춤' 딘딘X이진호, 규현과 新 풍류 체험 ""이 프로그램 너무 좋다"" 감탄",세 사람은 전통주의 맛과 멋이라는 특별한 풍류를 체험할 계획이다. 10년의 경험을 자랑하는 외국인 전통주 소믈리에와 함께하는 쌀 향 가득한 풍류가 예고되며 기대를 모은다. 이어 채널 십오야 유튜브 채널에서...
918,2020.11.20.,매일경제,"`어깨춤` 규현, 딘딘X이진호와 전통주의 맛과 멋 체험",세 사람은 전통주의 맛과 멋이라는 특별한 풍류를 체험할 계획이다. 10년의 경험을 자랑하는 외국인 전통주 소믈리에와 함께하는 쌀 향 가득한 풍류가 예고되며 기대를 모은다. 이어 채널 십오야 유튜브 채널에서...
